english,french
it is a pity that he can t come.,dommage qu il ne puisse pas venir !
tom introduced mary to his mother.,tom presenta marie a sa mere.
are you always so pessimistic?,tu es toujours aussi pessimiste ?
my father reads the newspaper every morning.,mon pere lit le journal tous les matins.
how much is it going to cost me?,combien ca va me couter ?
it doesn t seem fair does it?,ca ne semble pas juste si ?
can you climb up that tree?,peux tu grimper sur cet arbre?
i have no patience.,je n ai pas de patience.
he tried solving the problem.,il tenta de resoudre le probleme.
i want time.,je veux du temps.
my father doesn t waste his time.,mon pere ne gaspille pas son temps.
i m not home.,je ne suis pas chez moi.
stay with us.,reste avec nous.
you aren t looking.,tu ne regardes pas.
it s very hot today.,il fait vraiment chaud aujourd hui.
get in the back seat.,monte dans le siege arriere.
do you think i m fat?,penses tu que je suis gros ?
where is your homework?,ou sont tes devoirs ?
don t be rude.,ne sois pas impolie !
tom kissed mary and she slapped him.,tom a embrasse marie et elle l a gifle.
a blind person s hearing is often very acute.,les aveugles ont souvent une perception auditive accrue.
he s so cute.,il est tellement mignon !
i wonder if my efforts will pay off.,je me demande si mes efforts vont payer.
it wasn t relevant.,ce n etait pas pertinent.
i m so sick of this.,j en ai tellement marre.
we talked quite frankly.,nous avons discute tout a fait franchement.
when was it finished?,quand est ce que ca a fini ?
tom has a sister in boston.,tom a une s ur a boston.
tom pushed his nose against the window.,tom pressa son nez contre la fenetre.
are you going by bus or car?,y allez vous en car ou en voiture ?
this offer is available for five days.,cette offre vaut pour cinq jours.
forty people were present.,quarante personnes etaient presentes.
i just want to be near you.,je veux simplement etre aupres de vous.
i hear some screaming.,j entends quelqu un qui pousse des cris.
it s a huge responsibility.,c est une responsabilite enorme.
the carrots cost three dollars.,les carottes coutent trois dollars.
she waits tables for a living.,elle gagne sa vie comme serveuse.
we re resigning.,nous demissionnons.
i think it s a good idea.,je pense que c est une bonne idee.
i didn t like the result.,je n aime pas le resultat.
you have no idea.,tu n as pas idee.
i know that i should stay.,je sais que je devrais rester.
let s continue where we left off yesterday.,reprenons la ou nous en sommes restes hier.
you have a lot of time.,tu as beaucoup de temps.
i m sure you ll succeed.,je suis certain que tu reussiras.
do i need to explain?,est ce que j ai besoin d expliquer ?
who did you want to do that with?,avec qui vouliez vous faire cela ?
are you through with the paper?,as tu fini avec le papier ?
i have to go to the bathroom.,je dois aller aux toilettes.
turn him down once and for all.,jette le une fois pour toutes.
tom thought he had a chance to survive.,tom pensait qu il avait une chance de survivre.
fear nothing.,n ayez crainte.
he spoke highly of you.,il a ete dithyrambique a votre sujet.
give me a hand.,prete moi main forte !
you should have seen it.,tu aurais du le voir.
my name s tom. what s yours?,je m appelle tom. et vous ?
i m not coming back.,je ne reviens pas.
i m too tired to swim.,je suis trop fatigue pour nager.
that s all for today.,c est tout pour aujourd hui.
he studied very hard.,il a etudie tres dur.
they all did it.,ils l ont tous fait.
i thought it was a fluke.,j ai pense que c etait de la veine.
he plays tennis very well.,il joue tres bien au tennis.
he delivers newspapers.,il livre les journaux.
do you know where the bathroom is?,savez vous ou sont les toilettes ?
do you expect me to believe you?,esperez vous que je vous croie ?
did you know tom died in boston?,savais tu que tom etait mort a boston ?
they were worried about getting caught.,ils etaient inquiets de se faire prendre.
i like watching tv.,j aime regarder la television.
what s your shoe size?,quelle pointure faites vous ?
you re off the hook.,tu es tire d affaire.
it has rained since yesterday.,il a plu depuis hier.
can you verify that?,pouvez vous verifier cela ?
come home before dark.,viens avant qu il ne fasse sombre.
i live on a boat.,je vis sur un bateau.
she regarded me suspiciously.,elle me lanca un regard suspect.
should i be talking to tom?,devrais je parler a tom ?
i invited her to a movie.,je l ai invitee a aller voir un film.
we hope your stay was enjoyable.,nous esperons que votre sejour a ete agreable.
you re greedy.,vous etes avide.
do you like figure skating?,est ce que tu aimes le patinage artistique ?
i think you d better go.,je pense que tu ferais mieux d y aller.
you should conform to the rules.,vous devriez vous conformer aux regles.
i hit tom.,j ai frappe tom.
there s no point doing that.,il est inutile de faire cela.
would you do that?,le ferais tu ?
i wish i had your job.,j aimerais avoir ton boulot.
the book is out of print.,l ouvrage est epuise.
i prefer to go alone.,je prefere y aller seule.
i m not coming with you.,je ne viens pas avec vous.
tom is here right?,tom est la non ?
i ll stand by you in time of need.,je serai a ton cote en cas de besoin.
that just happened.,cela vient de se produire.
he walked past the house.,il est passe devant la maison.
when do you plan to start?,quand prevois tu de demarrer ?
tom is taking care of the kids.,tom prend soin des enfants.
i m not happy with this situation.,je ne suis pas content de cette situation.
you didn t say that before.,tu n as pas dit cela auparavant.
you re not alone.,tu n es pas seul.
i saw him running.,je l ai vu courir.
there s no change.,il n y a pas de changement.
the president remained in bed.,le president resta alite.
i really like this car.,j aime beaucoup cette voiture.
she is really a nice girl.,c est vraiment une gentille fille.
i don t often come here.,je ne viens pas souvent ici.
you didn t turn in your homework.,tu n as pas rendu tes devoirs.
we look forward to seeing you again.,il nous tarde de vous revoir.
i didn t promise anybody anything.,je n ai rien promis a quiconque.
he looks like an honest man.,il a l air d un honnete homme.
i don t even like fish.,je n aime meme pas le poisson.
it was superb.,ca a ete magnifique.
i was a shy child.,j etais une enfant timide.
i lost my inspiration.,j ai perdu mon inspiration.
i tried for almost an hour.,j ai essaye pendant presque une heure.
i m not really an expert.,je ne suis pas vraiment un expert.
we re all a bit a scared.,nous avons tous un peu peur.
is this seat reserved?,est ce que ce siege est reserve ?
he scares easily.,il prend facilement peur.
put yourself in my position.,mets toi a ma place.
he dropped the anchovies.,il a fait tomber les anchois.
i didn t sleep much last night.,je n ai pas beaucoup dormi la nuit derniere.
i am seeing mary this afternoon.,je vois mary cette apres midi.
i ve been working on this for months.,je travaille sur ceci depuis des mois.
i tried to help him.,j ai essaye de l aider.
i m not interested in a relationship.,je ne suis pas interessee par une relation.
you ll never be young again.,tu ne seras plus jamais jeune.
i start work at eight in the morning.,je commence le travail a huit heures le matin.
i was forced to resign.,j ai ete contraint de demissionner.
is it something serious?,est ce quelque chose de serieux ?
life is like a soap bubble.,la vie est comme une bulle de savon.
i m glad you brought that up.,je suis ravie que vous ayez souleve ca.
i have homework.,j ai des devoirs.
that brown one is mine too.,le brun est egalement a moi.
what s your occupation?,quel est votre emploi ?
this beach is a paradise for surfers.,cette plage est un paradis pour les surfeurs.
can you help me carry this?,peux tu m aider a porter ca ?
did i write that?,ai je ecrit cela ?
i have quit smoking and drinking.,j ai arrete de fumer et de boire.
i m invited to dinner this evening.,je suis invite a diner ce soir.
does your school have a library?,ton ecole dispose t elle d une bibliotheque ?
don t exceed the speed limit.,ne depasse pas la limite de vitesse.
i heard him go down the stairs.,je l entendis descendre les escaliers.
we have wine.,nous avons du vin.
the girls giggled.,les filles ont glousse.
i ll always be here.,je serai toujours ici.
that didn t really happen.,ca n est pas vraiment arrive.
that s how we do things.,c est comme ca que nous faisons les choses.
as you climb higher the air becomes colder.,en montant plus haut l air devient plus froid.
there isn t much wind today.,il n y a guere de vent aujourd hui.
i never told you to lie.,je ne vous ai jamais dit de mentir.
what does this word mean?,que signifie ce mot?
the joke s on you.,on se moque de toi.
the sun was shining brightly.,le soleil brillait fort.
the black umbrella is tom s.,le parapluie noir est a tom.
did i arrive on time?,je suis arrive a l heure ?
this is tom s knife.,c est le couteau de tom.
tom is dead.,tom est mort.
he heard the news on the radio.,il a entendu la nouvelle a la radio.
he made a bad decision.,il prit une mauvaise decision.
i ve been there a dozen times.,j y suis alle une douzaine de fois.
don t stay up too late.,ne vous couchez pas trop tard.
i d like to get a second opinion.,j aimerais recevoir une seconde opinion.
he just wants attention.,il veut juste attirer l attention.
get your clothes on.,enfilez vos vetements !
he hung his head sheepishly.,il inclina la tete embarrasse.
you must go up the hill.,vous devez monter la colline.
the princess was beautiful beyond description.,la princesse etait d une beaute indescriptible.
i asked you to be quiet.,je t ai demande d etre silencieux.
you know what they say.,tu sais ce qu on dit.
he often eats fish for dinner.,il mange souvent du poisson pour le souper.
i buried it.,je l ai enterre.
where were you coming from?,d ou veniez vous ?
would you please shut up?,tu peux te taire s il te plait ?
he s worried about his receding hairline.,il s inquiete de sa calvitie naissante.
i don t know why i bother coming here.,j ignore pourquoi je m embete a venir ici.
the air seems damp.,l air semble humide.
they don t know what they are missing.,ils ne savent pas ce qu ils ratent.
he scolded her.,il la gronda.
go on.,poursuivez.
it s made of brass.,c est du laiton.
i m done with you.,j en ai fini avec toi.
i m on your side.,je suis a ton cote.
we ll soon find out.,nous le decouvrirons bientot.
i m pretty sure tom could do that.,je suis certain que tom pourrait le faire.
he is walking towards the station.,il marche en direction de la gare.
does someone here know how to do this?,quelqu un ici sait il comme faire ceci ?
i just can t get it right.,je ne parviens pas a trouver la bonne reponse.
she is anxious to meet you.,elle est tres desireuse de te rencontrer.
she s busy.,elle est occupee.
write in the date yourself.,ecrivez y vous meme la date.
she denied having met him.,elle nia l avoir rencontre.
green is my favorite color.,le vert est ma couleur favorite.
he teaches in a girls high school.,il enseigne dans un college de filles.
tom needs help.,tom a besoin d aide.
i think i can do that.,je pense pouvoir faire ca.
you were in a coma.,vous etiez dans le coma.
i ve got a bad case of jet lag.,j ai un mechant decalage horaire.
where do i have to change trains?,ou dois je changer de train ?
who is he?,qui est ce ?
we re very different you and i.,nous sommes tres differentes vous et moi.
is it getting worse?,cela empire t il ?
do you want to do this later?,veux tu faire ca plus tard ?
this milk tastes sour.,ce lait a un gout aigre.
she really looks pretty.,elle a l air vraiment jolie.
you look very pale.,tu as l air tres pale.
how did you get to know him?,comment l as tu connu ?
i hope you re not alone.,j espere que vous n etes pas seule.
we ll soon be together.,nous serons bientot ensemble.
we should try that.,nous devrions essayer cela.
i didn t see you come in.,je ne vous ai pas vue entrer.
tom is just trying to make ends meets.,tom essaie juste de joindre les deux bouts.
i don t want you to be upset.,je ne veux pas que tu sois fache.
you seem angry.,vous avez l air enerve.
why are you in my house?,pourquoi es tu dans ma maison ?
we d better do that.,nous ferions mieux de faire cela.
the train leaves in minutes.,le train part dans cinq minutes.
you knew the answer all along.,vous connaissiez la reponse tout du long.
which is it going to be?,lequel cela va t il etre ?
i am studying now.,je suis en train d etudier.
he s a construction worker.,c est un travailleur du batiment.
he worked hard to promote peace.,il travailla dur a promouvoir la paix.
where were your parents?,ou etaient tes parents ?
are you lonely?,etes vous esseule ?
where s that music coming from?,d ou vient cette musique ?
the leaves have turned red.,les feuilles sont devenues rouges.
we have had a lot of snow this winter.,nous avons eu beaucoup de neige cet hiver.
we ve just arrived.,nous venons d arriver.
basho was the greatest poet.,basho etait le meilleur poete.
everyone screamed.,tout le monde cria.
that was incredible wasn t it?,ce fut incroyable n est ce pas ?
am i talented?,ai je du talent ?
tom asked mary if she loved him.,tom a demande a mary si elle l aimait.
he can t keep time.,il est incapable de garder le rythme.
these flowers grow in warm countries.,ces fleurs poussent dans les pays chauds.
do you have my book?,as tu mon livre ?
they shared the money.,ils ont partage l argent.
did you hear it?,l avez vous entendu ?
the band played several marches.,la fanfare joua plusieurs marches.
who was this picture painted by?,qui a peint ce tableau ?
i want to live in a town.,je veux vivre dans une commune.
i remember seeing you last year.,je me rappelle t avoir vue l annee passee.
please have a seat.,s il vous plait asseyez vous !
you don t seem very pleased.,vous ne semblez pas tres ravis.
do you agree with this?,etes vous d accord avec ceci ?
you can t blame yourself.,tu ne peux pas te faire de reproches.
i managed to get in.,j ai reussi a entrer.
that is the girl whose father is a doctor.,c est la fille dont le pere est medecin.
that might depend on your point of view.,ca pourrait dependre de votre point de vue.
there is little time left.,il reste peu de temps.
i ve been injured.,j ai ete blesse.
i don t know if this is true.,j ignore si c est vrai.
that s our fault.,c est de notre faute.
the small boy slowly made some new friends.,le petit garcon se fit lentement de nouveaux amis.
don t stop him.,ne l arretez pas.
they tried to cheer me up.,ils essayerent de me remonter le moral.
he may have missed the train.,il se peut qu il ait rate le train.
tom is acting a little strange.,tom agit un peu etrangement.
i don t have time to read.,je n ai pas le temps de lire.
he wouldn t allow me to drive his car.,il ne me permettrait pas de conduire sa voiture.
i want you to wear this one.,je veux que tu portes celui ci.
it seemed appropriate.,ca semblait approprie.
how did you find me?,comment m as tu trouve ?
the house requires repairs.,la maison necessite des reparations.
that could be a coincidence.,cela pourrait etre une coincidence.
i m no longer depressed.,je ne suis plus deprime.
can you call him?,peux tu l appeler ?
he s not a liar.,ce n est pas un menteur.
your shoes don t go with that outfit.,vos chaussures ne vont pas avec ce costume.
i went to the movies with my brother.,je suis allee au cinema avec mon frere.
i saw you yesterday.,je t ai vue hier.
we re not interested.,nous ne sommes pas interessees.
i want you to take this with you.,je veux que vous preniez ceci avec vous.
do you know that girl?,est ce que tu connais cette fille ?
i know what you were doing.,je sais ce que vous faisiez.
she listened to music for hours.,elle ecouta de la musique durant des heures.
there were survivors.,il y a eu trente survivants.
you can take that with you.,vous pouvez prendre cela avec vous.
what a big house you have!,quelle grande maison vous avez !
she brought a cup of tea to me.,elle m a apporte une tasse de the.
my watch is waterproof.,ma montre est etanche.
how do you pronounce your name?,comment prononcez vous votre nom ?
do all of you speak french?,est ce que vous parlez tous francais ?
let s do it!,faisons le !
tom has always wanted to win.,tom a toujours voulu gagner.
this stove is easy to use.,cette cuisiniere est facile a utiliser.
how long does it take?,combien de temps cela prend il ?
they re not mine.,ce ne sont pas les miens.
you re fashionable.,vous etes branchee.
you re the one who quit.,tu es celle qui a demissionne.
he didn t pass after all.,il a echoue apres tout.
both those students passed all the tests.,ces deux etudiants ont reussi tous les examens.
is it all under control?,tout est il sous controle ?
he didn t come to the last meeting.,il n etait pas venu a la derniere reunion.
i m not in love with you.,je ne suis pas amoureuse de vous.
she may have said so.,il se peut qu elle l ait dit.
do you have a pen i could use?,as tu un stylo que je pourrais utiliser ?
i don t trust his story.,je ne crois pas a son histoire.
i promised i wouldn t say anything.,j ai promis que je ne dirais rien.
we exchanged greetings.,nous echangeames des formules de bienvenue.
he had a bitter experience.,il eut une amere experience.
do you want to make a deal?,voulez vous passer un accord ?
it s time to party.,il est l heure de faire la fete.
tom is quite organized isn t he?,tom est plutot organise n est ce pas ?
they fell into the conversation immediately.,ils ont immediatement commence a discuter.
they re very busy.,ils sont tres occupes.
we all die.,nous mourons toutes.
you heard correctly.,tu as bien entendu.
i m trying to be happy.,j essaye d etre heureuse.
i m going to be there.,j y serai.
you don t have to explain.,tu n es pas force de donner des explications.
the girl still believes in santa claus.,cette fille croit encore au pere noel.
i just want to be perfect.,je veux simplement etre parfaite.
you re a murderer.,tu es un meurtrier.
who did you see in the park?,qui avez vous vu au parc ?
i want this garbage out of here.,je veux que ces detritus soient sortis d ici.
life is unpredictable.,la vie est imprevisible.
i d prefer to not take that risk.,je prefererais ne pas prendre ce risque.
you must not leave right now.,vous ne devez pas partir tout de suite.
thanks for coming.,merci de venir.
stay away from the door.,eloignez vous de la porte.
people are saying that the crisis is over.,les gens disent que la crise est passee.
do you know who they are?,sais tu qui elles sont ?
would you mind helping me with something?,pourriez vous m aider ?
it doesn t matter how old you are.,votre age n a pas d importance.
i saw tom kill the neighbor s cat.,j ai vu tom tuer le chat du voisin.
what are you supposed to do?,qu es tu cense faire ?
how did you learn to dance so well?,comment as tu appris a si bien danser ?
i have to do it.,je dois le faire.
the picture looks nicer from a distance.,l image est plus belle de loin.
he is not kind to her.,il n est pas gentil a son egard.
driving a car is really very simple.,conduire une voiture est vraiment tres simple.
tom s hungry.,tom a faim.
tom was traumatized.,tom etait traumatise.
he removed his sunglasses.,il a ote ses lunettes de soleil.
do you think you could do that again?,pensez vous pouvoir refaire cela ?
tie your shoe.,noue ta chaussure.
one fifth of my wages go to taxes.,un cinquieme de mon salaire part en impot.
you re not getting any younger.,tu ne rajeunis pas.
you re the sweetest.,vous etes la plus mignonne.
i don t snore.,je ne ronfle pas.
what does it cost?,combien est ce que ca coute ?
how did you meet him?,comment l as tu rencontre ?
we re slowing down.,nous sommes en train de ralentir.
i am leaving next week.,je pars la semaine prochaine.
green suits you.,le vert te va bien.
she received the electricity bill today.,elle a recu la facture d electricite aujourd hui.
do you have a bicycle?,avez vous un velo ?
where were you yesterday afternoon?,ou etiez vous hier apres midi ?
i like it when it s snowing.,j aime qu il neige.
i didn t want to disturb tom.,je ne voulais pas deranger tom.
is that your own hair?,est ce vos vrais cheveux ?
i didn t know you had a girlfriend.,j ignorais que tu avais une nana.
you had better take an umbrella.,vous feriez mieux de prendre un parapluie.
we re not done playing yet.,nous n avons pas encore fini de jouer.
can you excuse me a second?,peux tu m excuser une seconde ?
you have no cause for anger.,tu n as pas de raison de t enerver.
please be serious.,sois serieuse je te prie.
i ll be seventeen next year.,j aurai dix sept ans l annee prochaine.
we searched everywhere.,nous avons fouille partout.
is it comprehensive?,est ce exhaustif ?
we understand you perfectly.,nous te comprenons parfaitement.
would you come here a moment?,pourriez vous venir ici un instant ?
everybody wants permanent peace.,tout le monde veut une paix durable.
they look confused.,ils ont l air desorientes.
can you pass me the potatoes?,pouvez vous me passer les patates ?
i m feeling low.,je me sens abattu.
i have only one thing to say.,je n ai qu une chose a dire.
i am yours and you are mine.,je suis tienne et tu es mien.
despite everything tom started to relax.,malgre tout tom commenca a se detendre.
you re very resourceful.,vous etes pleins de ressources.
we heard the boy playing the violin.,nous avons entendu le garcon jouer du violon.
i haven t been back here since the incident.,je ne suis pas revenu ici depuis l accident.
all this bickering is starting to fray my nerves.,toutes ces querelles m usent les nerfs.
i made a mess of that.,j ai foire ca.
do you study english?,etudiez vous l anglais ?
you re very understanding.,vous etes fort comprehensif.
i ve got a friend in the fbi.,j ai un ami aux renseignements generaux.
i m lucky to have you as a friend.,je suis chanceuse de vous avoir comme amie.
i m tired of cleaning up after you.,je suis fatigue de nettoyer apres toi.
they walked upstairs.,elles monterent des escaliers.
have you ever been to africa?,as tu jamais ete en afrique ?
please stop talking like that.,arrete de parler comme ca s il te plait.
what country were you born in?,dans quel pays etes vous nee ?
i really need you.,j ai vraiment besoin de toi.
there are many parks in boston.,il y a beaucoup de parcs dans boston.
he usually goes to mcdonald s.,il va generalement a mcdonald s.
there s a possibility of war.,il y a une possibilite de guerre.
please give me what i want.,veuillez me donner ce que je veux.
i think i m prepared for that.,je pense y etre prepare.
what do you usually do on weekends?,en general vous faites quoi le week end ?
this movie is appropriate for all ages.,ce film convient a tous les ages.
let s move the sofa.,deplacons le canape.
tom cries every time he hears this song.,tom pleure chaque fois qu il entend cette chanson.
tom doesn t have any reason to be jealous.,tom n a aucune raison d etre jaloux.
we admired the beauty of the scenery.,on a admire la beaute du paysage.
it s necessary for you to go.,il est necessaire que vous partiez.
snakes are cold blooded creatures.,les serpents sont des creatures a sang froid.
she s going to have a baby.,elle va avoir un bebe.
everybody loves her.,tout le monde l aime.
he s a gardener.,il est jardinier.
he always leaves the window open when he sleeps.,il laisse toujours la fenetre ouverte quand il dort.
it s good to talk to you.,c est bon de vous parler.
read the article.,lisez l article.
tom is a good friend of mine.,tom est un bon ami a moi.
i m so happy you re here!,je suis si heureux que vous soyez la!
i m not afraid of your dog.,je n ai pas peur de ton chien.
don t pull the plug yet.,ne retirez pas encore la prise !
are you getting paid for this?,etes vous payes pour ca ?
tom messed with the wrong guy.,tom s est trompe de mec.
just tell me when you want to leave.,dis moi juste quand tu veux partir.
what is it you want me to do?,que veux tu que je fasse ?
this game is so hard.,ce jeu est tellement difficile.
you aren t supposed to swim here.,tu n es pas censee nager ici.
you must be in good physical condition.,vous devez etre en bonne condition physique.
i know you ve been busy.,je sais que vous avez ete occupe.
maybe it s not possible.,peut etre n est ce pas possible.
my grandmother can t see very well.,ma grand mere ne voit pas tres bien.
she offered her seat to an old woman.,elle offrit son siege a une femme agee.
i m glad to finally meet you.,je me rejouis de vous avoir finalement rencontrees.
he sometimes watches tv.,il regarde parfois la tele.
make your move.,fais ton deplacement.
you look european.,tu as l air europeen.
this room is air conditioned.,cette piece dispose de l air conditionne.
tom is on the phone.,tom est au telephone.
he felt nervous about the result.,il se sentait nerveux au sujet du resultat.
i feel flattered.,je me sens flatte.
she looked lonely.,elle avait l air seule.
i ll figure something out.,je reflechirai a quelque chose.
an olive branch symbolises peace.,une branche d olivier symbolise la paix.
were you disrespectful?,leur avez vous manque de respect ?
we have to make the most of this situation.,nous devons tirer le meilleur parti de la situation.
where is my beer?,ou est ma biere ?
i don t even have a car anymore.,je n ai meme plus de voiture.
i took the medicine.,j ai pris les medicaments.
that worked.,ca a marche.
give me your car keys.,donne moi tes cles de voiture !
pick a weapon.,choisissez une arme !
tom is a professional singer.,tom est chanteur professionnel.
she returned to japan.,elle retourna au japon.
tom says he can do that.,tom dit qu il peut le faire.
the girl let the bird go.,la fille laissa partir l oiseau.
has something else happened?,quelque chose d autre s est il passe ?
tom shuffled the cards.,tom a melange les cartes.
i m in bed.,je suis alite.
my children are sick.,mes enfants sont malades.
she s very afraid of dogs.,elle a tres peur des chiens.
we sang for her.,nous avons chante pour elle.
this chair is too small.,cette chaise est trop petite.
the clock stopped.,la pendule s arreta.
we re not gonna make it.,ca va pas le faire.
i used to be very fat.,j etais tres grosse.
i know tom was unfair.,je sais que tom etait injuste.
i don t care who you are.,peu m importe qui tu es.
why do you want that anyway?,pourquoi le voulez vous de toutes facons ?
don t look at me that way.,ne me regarde pas de cette facon.
tom seems to be an honest person.,tom semble etre une personne honnete.
nothing is more valuable than health.,rien n est plus precieux que la sante.
the station is located between these two towns.,la gare est situee entre ces deux villes.
tom has traveled around australia.,tom a voyage en australie.
i want to have a word with you.,je veux m entretenir avec toi.
his cousin whose name i forget was a nurse.,sa cousine dont j oublie le nom etait infirmiere.
excuse me have you seen tom?,excusez moi avez vous vu tom ?
meet me at the hotel bar.,retrouvons nous au bar de l hotel !
they accomplished their mission.,ils accomplirent leur mission.
can i see you again?,puis je te revoir ?
tom got here on monday.,tom est arrive lundi.
you re very emotional.,tu es fort emotif.
it s awesome.,c est super.
give me a minute to catch my breath.,donne moi une minute pour reprendre mon souffle.
i m very interested in social studies.,les etudes sociales m interessent beaucoup.
we walked along the beach.,nous marchames le long de la plage.
time passed very quickly.,le temps a passe tres vite.
i m just writing a letter to my girlfriend.,j ecris juste une lettre a ma copine.
you re in big trouble now.,tu as de gros ennuis maintenant.
the problem disappeared as if by magic.,le probleme disparut comme par magie.
we do all kinds of repairs.,nous realisons toutes sortes de reparations.
i messed up.,j ai merde.
it s all nonsense.,rien de ca n a de sens.
his girlfriend has lost weight.,sa petite amie a perdu du poids.
i am a stranger here.,je suis etranger ici.
you re a very lucky man.,tu as vraiment de la chance.
i want them to be your friends.,je veux qu ils soient tes amis.
don t you have work to do?,n avez vous pas de travail a faire ?
they all burst out laughing.,elles ont toutes eclate de rire.
i think we need those.,je pense que nous avons besoin de ceux la.
where is tom s classroom?,ou est la classe de tom ?
there is no smoke without fire.,il n y a pas de fumee sans feu.
tom is dating someone.,tom sort avec quelqu un.
when did you finish the work?,quand as tu fini le travail ?
i bought it in a thrift store.,je l ai achete dans une solderie.
you can t be sure of that.,tu ne peux pas en etre sur.
my sister is engaged in social work.,ma s ur s implique dans des uvres sociales.
i hope that i can do it.,j espere pouvoir le faire.
of course i knew it was dangerous.,bien sur je savais que c etait dangereux.
you get what you pay for.,on obtient que ce pour quoi on paie.
i ve never been better.,je ne me suis jamais si bien portee.
see you in class.,on se voit en classe.
he made up that story.,il inventa cette histoire.
i m not buying your story.,je ne gobe pas votre histoire.
everything went black.,tout est devenu noir.
my mother is always on the go.,ma mere passe sa vie a courir.
i m too tired to argue.,je suis trop fatigue pour me disputer.
i can solve this problem.,je peux resoudre ce probleme.
why does tom want to go there?,pourquoi est ce que tom veut y aller ?
they re weak.,ils sont faibles.
how big you are!,comme vous etes grande !
i ll try to prevent that from happening.,j essayerai d eviter que cela se produise.
why do you want to go to boston?,pourquoi tiens tu a aller a boston ?
let s talk about australia.,parlons de l australie.
help yourself to anything you d like to eat.,sers toi mange ce que tu veux.
you don t seem very concerned.,vous ne semblez pas tres concerne.
trade helps nations develop.,le commerce aide les pays a se developper.
i thought you d gotten lost.,je pensais que vous vous seriez perdu.
you look tired.,tu as l air fatigue.
i ll do that tomorrow if possible.,je le ferai demain si possible.
they want you dead.,ils vous veulent mortes.
don t mind her.,ne te soucie pas d elle.
someday you should give it a try.,tu devrais t y essayer un de ces jours.
what have we done to be punished like this?,qu avons nous fait pour etre ainsi punies ?
he must have studied english hard.,il a du etudier serieusement l anglais.
tom s crazy.,tom est derange.
i m glad that makes you happy.,je suis content que ca vous rende heureuses.
we all know tom.,nous connaissons tous tom.
this one is similar to that one.,celui ci ressemble a celui la.
she divided the cake into five pieces.,elle partagea la tarte en cinq.
tom and his wife have just had a baby.,tom et sa femme viennent d avoir un bebe.
tom is defenseless.,tom est sans defense.
they won t need you.,elles n auront pas besoin de vous.
we ll camp here.,nous allons camper ici.
i waved him back.,je lui fis signe de la main en retour.
tom feels unwanted.,tom se sent rejete.
why don t you pull over?,pourquoi ne vous rangez vous pas ?
the doors are open.,les portes sont ouvertes.
do you like cooking?,aimes tu faire la cuisine ?
i need some sugar.,j ai besoin de sucre.
my parents live outside the city.,mes parents habitent hors de la ville.
wipe your feet before coming in.,essuie toi les pieds avant d entrer.
you may still do it if you want to.,tu peux toujours le faire si tu veux.
why was i not informed?,pourquoi n ai je pas ete informee ?
why don t we do that right now?,pourquoi on fait pas ca maintenant ?
are you ready to do that?,es tu prete a faire ca ?
i should learn french.,je devrais apprendre le francais.
ideas are important.,les idees sont importantes.
is there really a solution?,y a t il vraiment une solution ?
i m really happy for you.,je suis vraiment heureux pour vous.
that s my mother.,c est ma mere.
the phone rang while i was taking a shower.,le telephone a sonne quand je me douchais.
i called you.,je vous ai appelee.
i thought you d like it.,je pensais que tu l apprecierais.
